name,current_price,market_cap,volume_day,circulating_supply,supply_verified,total_supply,max_supply,fully_diluted_market_cap,low_price_day,high_price_day,all_time_high,all_time_low,ucid,popularity_watchlists
Dogecoin,0.1211,17606778632.0,675443576.0,145352506384.0,verified,145352506384.0,,17606778632.0,0.1184,0.1272,0.7376,8.547e-05,74,1931564.0
Shiba Inu,1.594e-05,9394849976.0,229218347.0,589270528254484.0,verified,589519092245667.0,,9398812879.0,8.165e-11,1.667e-05,8.845e-05,8.165e-11,5994,2074704.0
Pepe,1.061e-05,4461762646.0,610203547.0,420689899999995.0,verified,420689899999995.0,420690000000000.0,4461763706.0,2.764e-08,1.162e-05,1.718e-05,2.764e-08,24478,437401.0
dogwifhat,2.0,1997920177.0,371202832.0,998845677.0,verified,998845677.0,,1997920177.0,1.98,2.35,4.85,0.0677,28752,155667.0
Bonk,2.4e-05,1656968172.0,183254549.0,69053314734002.0,verified,92900853807198.0,,2229201575.0,9.197e-08,2.68e-05,4.704e-05,9.197e-08,23095,266408.0
FLOKI,0.0001576,1508927328.0,185934507.0,9572000077184.0,verified,9689363276629.0,,1527428429.0,2e-08,0.0001739,0.0003462,2e-08,10804,423008.0
Brett (Based),0.1243,1231774322.0,22362227.0,9910236395.0,verified,9910236395.0,10000000000.0,1242931321.0,0.1204,0.1324,0.1939,0.01945,29743,198522.0
BOOK OF MEME,0.009931,684864149.0,270076462.0,68961771827.0,verified,68961771827.0,,684864149.0,0.009536,0.01076,0.02805,0.000858,29870,111536.0
Mog Coin,1.813e-06,653986200.0,43179118.0,360447686344656.0,verified,360447686344656.0,420690000000000.0,763288168.0,1.75e-06,2.196e-06,2.445e-06,4.288e-09,27659,56606.0
Popcat (SOL),0.6281,615564211.0,56056718.0,979973185.0,verified,979973221.0,,615564234.0,0.6053,0.7501,0.9976,0.00383,28782,36909.0
cat in a dogs world,0.006443,572674685.0,105633902.0,88888888888.0,verified,88888888888.0,,572674685.0,0.006343,0.007382,0.01034,0.000844,30126,61345.0
Memecoin,0.01371,313128955.0,32425123.0,22837385392.0,verified,69000000000.0,69000000000.0,946075810.0,0.01343,0.0145,0.05706,0.01228,28301,74346.0
Ponke,0.47,261133152.0,22987556.0,555544226.0,verified,555544226.0,555555555.0,261138477.0,0.4593,0.5234,0.7098,0.02173,29150,216097.0
Turbo,0.005155,332417987.0,72370319.0,64490000000.0,verified,69000000000.0,69000000000.0,355665081.0,0.005034,0.005819,0.00978,6.537e-05,24911,65489.0
Dog (Runes),0.003094,309350349.0,10370271.0,100000000000.0,verified,100000000000.0,100000000000.0,309350349.0,0.002876,0.003542,0.009774,0.001829,30933,44746.0
PepeCoin,2.25,260269437.0,2174203.0,115752038.0,verified,133769419.0,133769420.0,300781673.0,2.05,2.27,7.57,0.01088,24835,9516.0
MAGA,5.04,221527380.0,7358147.0,43997357.0,verified,46502452.0,,234140572.0,4.78,5.7,17.52,0.007792,27872,74139.0
Mumu the Bull,7.805e-05,178201991.0,9883219.0,2283204416985.0,verified,2329915213859.0,2329915213859.0,181847725.0,4.736e-06,0.0001009,0.0001202,4.736e-06,30285,12599.0
Baby Doge Coin,1.175e-09,168942398.0,3619832.0,1.4378879957330947e+17,verified,2.0559827668910595e+17,,241564475.0,1.132e-09,1.217e-09,6.355e-09,,10407,458366.0
Apu Apustaja,0.0005073,158945399.0,9607373.0,313346511349.0,verified,337892257217.0,420690000000.0,213395514.0,1.457e-06,0.0005781,0.001197,1.457e-06,30008,10413.0
